[0.000000] (-) TimerEvent: {}
[0.000521] (-) JobUnselected: {'identifier': 'ocs2_centroidal_model'}
[0.000529] (-) JobUnselected: {'identifier': 'ocs2_core'}
[0.000538] (-) JobUnselected: {'identifier': 'ocs2_ddp'}
[0.000546] (-) JobUnselected: {'identifier': 'ocs2_doc'}
[0.000554] (-) JobUnselected: {'identifier': 'ocs2_double_integrator'}
[0.000563] (-) JobUnselected: {'identifier': 'ocs2_double_integrator_ros'}
[0.000572] (-) JobUnselected: {'identifier': 'ocs2_frank_wolfe'}
[0.000580] (-) JobUnselected: {'identifier': 'ocs2_ipm'}
[0.000589] (-) JobUnselected: {'identifier': 'ocs2_legged_robot'}
[0.000597] (-) JobUnselected: {'identifier': 'ocs2_legged_robot_mpcnet'}
[0.000605] (-) JobUnselected: {'identifier': 'ocs2_legged_robot_raisim'}
[0.000618] (-) JobUnselected: {'identifier': 'ocs2_legged_robot_ros'}
[0.000627] (-) JobUnselected: {'identifier': 'ocs2_mobile_manipulator'}
[0.000635] (-) JobUnselected: {'identifier': 'ocs2_mobile_manipulator_ros'}
[0.000667] (-) JobUnselected: {'identifier': 'ocs2_mpc'}
[0.000676] (-) JobUnselected: {'identifier': 'ocs2_mpcnet'}
[0.000689] (-) JobUnselected: {'identifier': 'ocs2_mpcnet_core'}
[0.000698] (-) JobUnselected: {'identifier': 'ocs2_msgs'}
[0.000706] (-) JobUnselected: {'identifier': 'ocs2_oc'}
[0.000715] (-) JobUnselected: {'identifier': 'ocs2_ocs2'}
[0.000723] (-) JobUnselected: {'identifier': 'ocs2_perceptive'}
[0.000732] (-) JobUnselected: {'identifier': 'ocs2_pinocchio'}
[0.000740] (-) JobUnselected: {'identifier': 'ocs2_pinocchio_interface'}
[0.000749] (-) JobUnselected: {'identifier': 'ocs2_python_interface'}
[0.000757] (-) JobUnselected: {'identifier': 'ocs2_qp_solver'}
[0.000766] (-) JobUnselected: {'identifier': 'ocs2_quadrotor'}
[0.000774] (-) JobUnselected: {'identifier': 'ocs2_quadrotor_ros'}
[0.000784] (-) JobUnselected: {'identifier': 'ocs2_quadruped_interface'}
[0.000792] (-) JobUnselected: {'identifier': 'ocs2_quadruped_loopshaping_interface'}
[0.000804] (-) JobUnselected: {'identifier': 'ocs2_raisim'}
[0.000812] (-) JobUnselected: {'identifier': 'ocs2_raisim_core'}
[0.000820] (-) JobUnselected: {'identifier': 'ocs2_raisim_ros'}
[0.000829] (-) JobUnselected: {'identifier': 'ocs2_robotic_assets'}
[0.000837] (-) JobUnselected: {'identifier': 'ocs2_robotic_examples'}
[0.000845] (-) JobUnselected: {'identifier': 'ocs2_robotic_tools'}
[0.000853] (-) JobUnselected: {'identifier': 'ocs2_ros_interfaces'}
[0.000861] (-) JobUnselected: {'identifier': 'ocs2_self_collision'}
[0.000870] (-) JobUnselected: {'identifier': 'ocs2_self_collision_visualization'}
[0.000878] (-) JobUnselected: {'identifier': 'ocs2_slp'}
[0.000886] (-) JobUnselected: {'identifier': 'ocs2_sphere_approximation'}
[0.000895] (-) JobUnselected: {'identifier': 'ocs2_sqp'}
[0.000903] (-) JobUnselected: {'identifier': 'ocs2_switched_model_interface'}
[0.000911] (-) JobUnselected: {'identifier': 'ocs2_switched_model_msgs'}
[0.000919] (-) JobUnselected: {'identifier': 'ocs2_thirdparty'}
[0.000928] (-) JobUnselected: {'identifier': 'qpoases_catkin'}
[0.000936] (-) JobUnselected: {'identifier': 'realsense2_description'}
[0.000944] (-) JobUnselected: {'identifier': 'segmented_planes_terrain_model'}
[0.000952] (-) JobUnselected: {'identifier': 'towr'}
[0.000961] (-) JobUnselected: {'identifier': 'towr_ros'}
[0.000969] (-) JobUnselected: {'identifier': 'unitree_controller'}
[0.000977] (-) JobUnselected: {'identifier': 'unitree_gazebo'}
[0.000986] (-) JobUnselected: {'identifier': 'unitree_guide'}
[0.000994] (-) JobUnselected: {'identifier': 'unitree_legged_control'}
[0.001002] (-) JobUnselected: {'identifier': 'unitree_legged_msgs'}
[0.001010] (-) JobUnselected: {'identifier': 'unitree_legged_real'}
[0.001019] (-) JobUnselected: {'identifier': 'unitree_legged_sdk'}
[0.001027] (-) JobUnselected: {'identifier': 'unitree_move_base'}
[0.001035] (-) JobUnselected: {'identifier': 'z1_description'}
[0.001045] (realsense2_camera) JobQueued: {'identifier': 'realsense2_camera', 'dependencies': OrderedDict([('librealsense2', '/home/rocketsky/Program/ros1_lib/install/librealsense2')])}
[0.001059] (realsense2_camera) JobStarted: {'identifier': 'realsense2_camera'}
[0.099902] (-) TimerEvent: {}
[0.109218] (realsense2_camera) JobEnded: {'identifier': 'realsense2_camera', 'rc': 1}
[0.119494] (-) EventReactorShutdown: {}
